Monument,Adresse,Longitude,Latitude,Source
Villa Majorelle,"1 rue Louis-Majorelle
",48.6855,6.1639,https://www.pop.culture.gouv.fr/notice/merimee//PA00106322
Immeuble,"5 place Joseph-Malval
",48.69604,6.178839,https://www.pop.culture.gouv.fr/notice/merimee//PA00106251
Maison,"7 place Joseph-Malval
",48.696192,6.178825,https://www.pop.culture.gouv.fr/notice/merimee//PA00106455
Maison Luc,"25 rue de Malzéville1bis rue Michelet
",48.702121,6.179289,https://www.pop.culture.gouv.fr/notice/merimee//PA00106252
Maison Cavallier,"93 rue de Metz
",48.703955,6.169676,https://www.pop.culture.gouv.fr/notice/merimee//PA00106253
Immeuble,"8 rue Montesquieu
",48.690881,6.185346,https://www.pop.culture.gouv.fr/notice/merimee//PA00106255
Immeuble,"11 rue Montesquieu
",48.690925,6.185568,https://www.pop.culture.gouv.fr/notice/merimee//PA00106256
Maison Renaudin,"49, 51 rue Pasteur
",48.681575,6.168373,https://www.pop.culture.gouv.fr/notice/merimee//PA00106257
Chapelle de la Visitation,"39 rue Henri-Poincaré
",48.6917,6.1792,https://www.pop.culture.gouv.fr/notice/merimee//PA00106293
Chambre Commerce Industrie Meurthe-Moselle,"40 rue Henri-Poincaré
",48.6913,6.1771,https://www.pop.culture.gouv.fr/notice/merimee//PA00106103
Immeuble,"45 rue des Ponts
",48.687688,6.18247,https://www.pop.culture.gouv.fr/notice/merimee//PA00106258
Immeuble,"55 rue des Ponts
",48.687037,6.182991,https://www.pop.culture.gouv.fr/notice/merimee//PA54000067
Immeuble,"16 rue de la Primatiale
",48.690489,6.185327,https://www.pop.culture.gouv.fr/notice/merimee//PA00106259
Immeuble,"18 rue de la Primatiale
",48.690516,6.185405,https://www.pop.culture.gouv.fr/notice/merimee//PA00106260
Maison Roxard Salle,"42 rue des Quatre-Églises
",48.687359,6.183479,https://www.pop.culture.gouv.fr/notice/merimee//PA00106261
Ancien magasin Vaxelaire Pignot,"13 rue Raugraff
",48.690142,6.181682,https://www.pop.culture.gouv.fr/notice/merimee//PA00132638
Maison Bouret,"65 rue de la Ravinelle
",48.695532,6.170797,https://www.pop.culture.gouv.fr/notice/merimee//PA00135412
Villa Marguerite,"3 rue du Colonel-Renard
",48.6787,6.1815,https://www.pop.culture.gouv.fr/notice/merimee//PA00132629
Hopital Freres Charite,"5, 7 rue Sainte-Catherine
",48.69482,6.185684,https://www.pop.culture.gouv.fr/notice/merimee//PA00106297
Maison Clodion,"22 rue Saint-Dizier
",48.691152,6.182055,https://www.pop.culture.gouv.fr/notice/merimee//PA00106298
Immeuble,"24 rue Saint-Dizier
",48.691074,6.182132,https://www.pop.culture.gouv.fr/notice/merimee//PA00132639
Immeuble,"42-44 rue Saint-Dizier
",48.690123,6.182806,https://www.pop.culture.gouv.fr/notice/merimee//PA00132640
Maison Hanvs,"48 rue Saint-Dizier
",48.68999,6.182835,https://www.pop.culture.gouv.fr/notice/merimee//PA00106299
Immeuble,"112 rue Saint-Dizier
",48.687736,6.184605,https://www.pop.culture.gouv.fr/notice/merimee//PA00106262
Immeuble Credit Lyonnais,"7bis-9 rue Saint-Georges
",48.691191,6.182808,https://www.pop.culture.gouv.fr/notice/merimee//PA00106106
Immeuble Genin-Louis,"52 rue Saint-Jean2 rue Benit
",48.689858,6.179222,https://www.pop.culture.gouv.fr/notice/merimee//PA00106263
Immeuble,"5 rue Saint-Julien
",48.691978,6.184214,https://www.pop.culture.gouv.fr/notice/merimee//PA00106264
Immeuble,"9 rue Saint-Léon
",48.688942,6.17308,https://www.pop.culture.gouv.fr/notice/merimee//PA00106265
Immeuble,"11, 13 rue Saint-Léon
",48.688767,6.173195,https://www.pop.culture.gouv.fr/notice/merimee//PA00106266
Maison Spilmann,"12-14 rue Saint-Léon
",48.688519,6.172911,https://www.pop.culture.gouv.fr/notice/merimee//PA00132641
Maison,"4 rue Saint-Michel
",48.696946,6.178989,https://www.pop.culture.gouv.fr/notice/merimee//PA00106300
Maison Deux Sirenes,"5 rue Saint-Michel
",48.69675048,6.17899871,https://www.pop.culture.gouv.fr/notice/merimee//PA00106301
Hotel Olbelstein,"23 rue Saint-Michel
",48.696119,6.177925,https://www.pop.culture.gouv.fr/notice/merimee//PA00106267
Hotel Hautoy,"26 rue Saint-Michel
",48.696137,6.177369,https://www.pop.culture.gouv.fr/notice/merimee//PA00106118
